feature,perm_importance_mean,perm_importance_std
latest_payment_method_id,0.09374602463732272,0.0013120837218449943
latest_membership_expire_date,0.04928715191617088,0.001287850551824111
registered_via,0.04481619216883556,0.0011457620877713055
total_amount_paid,0.04126441190210782,0.0020020899769557796
latest_is_auto_renew,0.01628115378285902,0.00026253695719925325
transaction_count,0.010765077616655641,0.0003996689209865109
cancel_count,0.009491266221848926,0.0001726476193721628
renewal_count,0.0092254808539569,0.00035781034799536166
registration_init_time,0.0053119400524745675,0.0008072267411439529
bd,0.003883630158523513,0.0004527403702133169
city,0.003862295425295467,0.0005098541287649992
avg_plan_days,0.0036749648750663416,0.00010609057137108045
gender,0.0021512842435200963,0.00034751769838248025
num_active_days,-0.0002557611565411344,0.0003142478273972518
avg_num_songs,-0.0009640019099397129,0.0002975070562689292
total_num_unq,-0.0009664580998939298,0.0003079351369962138
avg_total_secs,-0.0009898896053375933,0.00034056837125177907
total_secs,-0.0010121613557966258,0.0002950239339452931
total_num_songs,-0.0010355311021360142,0.00028759094871063745
avg_num_unq,-0.0016258236092914075,0.0002828130662644257
